oid,category
276231830,autosport
39708933,tennis
165244818,football
772243338,basketball
59932732,hockey
326063102,winter_sport
270775309,basketball
421579134,tennis
700486922,boardgames
507262500,winter_sport
341458225,extreme
423620832,motosport
395353112,boardgames
824743609,basketball
290484631,winter_sport
159768514,basketball
234253423,football
441420522,motosport
303452933,athletics
251684639,motosport
503664137,volleyball
330691025,boardgames
152682706,athletics
529343505,hockey
890548501,motosport
670060720,extreme
461848124,tennis
392801401,boardgames
400318329,winter_sport
757382404,autosport
367128632,hockey
82359035,autosport
169650018,extreme
780661336,motosport
742321024,hockey
203609815,esport
315514611,esport
484770022,winter_sport
272409826,winter_sport
189202917,winter_sport
954309335,autosport
269135832,boardgames
363011237,martial_arts
143686331,athletics
646468605,martial_arts
424194001,athletics
758557134,athletics
207891029,esport
96550538,martial_arts
380846012,football
32860111,hockey
694176212,extreme
776303527,autosport
825619734,extreme
789704301,motosport
45918031,athletics
435847516,volleyball
703540237,athletics
285269308,football
800426014,winter_sport
570225132,boardgames
104061007,basketball
379707522,motosport
961037402,extreme
145846507,motosport
675338101,football
611637936,hockey
178373718,extreme
58022005,boardgames
493291122,autosport
955803014,winter_sport
280458608,athletics
203609815,esport
309347409,tennis
763019216,autosport
9455401,basketball
68737418,winter_sport
675267313,winter_sport
737880515,basketball
420029112,autosport
353081737,tennis
893681523,athletics
391106101,extreme
645562129,athletics
798959002,tennis
517149005,basketball
720194726,motosport
938731820,basketball
656339234,hockey
325097003,volleyball
730917226,hockey
479886838,autosport
727066931,extreme
69700733,extreme
382790721,esport
535711737,tennis
429114239,esport
939038022,motosport
614327734,motosport
765370701,motosport
930647729,volleyball
905511805,esport
75344628,volleyball
247095126,extreme
559217017,motosport
621582000,basketball
919523134,tennis
735630433,extreme
606729828,football
691699936,martial_arts
853736228,esport
972972609,volleyball
642194214,martial_arts
24580105,football
191288802,extreme
810672125,motosport
796343309,tennis
188871818,boardgames
969939508,tennis
776249712,esport
577505103,esport
433461909,motosport
840167802,volleyball
687005007,football
630596921,athletics
468180423,basketball
869290538,boardgames
24664535,esport
114099424,esport
732725131,winter_sport
444234900,tennis
88427238,esport
597320201,athletics
98678120,esport
227887835,esport
976183800,esport
814378832,motosport
404734609,winter_sport
636606912,volleyball
952424029,martial_arts
961573518,football
257082031,boardgames
189606914,martial_arts
920626600,winter_sport
583140311,hockey
91221831,basketball
871203616,esport
137678818,motosport
895783211,martial_arts
390326813,martial_arts
456256906,volleyball
744621104,football
854520310,autosport
335696332,extreme
773639931,football
963933706,esport
283938412,football
698725904,football
656656408,esport
920584035,volleyball
523488132,tennis
995500139,boardgames
732719339,extreme
110161928,autosport
87645031,boardgames
892988615,martial_arts
527755416,esport
254005736,martial_arts
365447126,motosport
608202837,football
175569918,hockey
675221606,martial_arts
327373427,basketball
590168531,football
673717013,football
15687720,boardgames
131876911,autosport
248974925,martial_arts
208349037,winter_sport
406687238,esport
882640123,football
714234514,extreme
432727237,martial_arts
409398311,volleyball
842595938,basketball
139939618,extreme
458745710,martial_arts
447660100,football
61541309,football
839030107,volleyball
731046922,athletics
916341617,autosport
826403605,basketball
535511828,basketball
767166235,autosport
455599238,athletics
653555418,extreme
998565619,hockey
9419231,esport
909146130,basketball
147606020,motosport
696853732,extreme
36443103,football
247095126,esport
314730615,tennis
706187615,esport
7101715,hockey
900506605,martial_arts
440346237,motosport
869551220,esport
158877415,autosport
171566920,boardgames
777388529,tennis
656339234,hockey
595894929,basketball
300018033,boardgames
81295517,volleyball
252055117,motosport
758557134,athletics
158959036,motosport
965739105,motosport
685187327,autosport
968492435,basketball
359331738,hockey
325137301,athletics
951099915,football
241306824,athletics
189202917,winter_sport
877868208,basketball
339910315,winter_sport
710737629,motosport
190675501,winter_sport
723062002,athletics
184257327,motosport
963669106,esport
729168834,volleyball
24664535,esport
75044739,extreme
977791728,martial_arts
480878817,martial_arts
77255925,volleyball
588492128,boardgames
503286621,volleyball
463497816,autosport
216451201,esport
490004308,tennis
126999231,extreme
311641030,tennis
205108616,martial_arts
627299307,tennis
586438336,volleyball
810648433,volleyball
963933706,esport
544238018,esport
412582902,autosport
217336832,football
245636707,motosport
235819036,volleyball
172134431,autosport
193979004,tennis
704493238,basketball
365511913,winter_sport
32860111,tennis
302337826,tennis
697754006,basketball
650371125,extreme
506779112,football
606174933,basketball
206462427,winter_sport
452466036,martial_arts
560285439,hockey
805173438,athletics
881719908,football
175684103,extreme
732845834,basketball
357831525,winter_sport
433461909,motosport
580460700,athletics
58905212,extreme
474672934,motosport
541204520,basketball
814144025,extreme
682868217,autosport
346973015,volleyball
110567026,athletics
673423735,martial_arts
136458830,winter_sport
543463128,football
675949807,basketball
731161905,volleyball
553924806,martial_arts
214726412,athletics
720806404,hockey
451609521,athletics
573599818,extreme
858270913,basketball
69666901,esport
175917715,tennis
323016022,tennis
501365320,basketball
177059338,basketball
66589206,basketball
283290130,football
876801624,basketball
302563336,autosport
808720707,martial_arts
977791728,martial_arts
541204520,athletics
318513918,extreme
976274208,hockey
780437412,boardgames
146978633,extreme
932162114,basketball
189713508,tennis
136458830,winter_sport
950318127,volleyball
368142822,autosport
397238625,extreme
249355536,martial_arts
162043401,basketball
58524106,basketball
46557902,basketball
553288426,martial_arts
524426623,tennis
695005818,athletics
656339234,hockey
202488729,hockey
393407803,boardgames
631388434,boardgames
618050834,martial_arts
194289811,basketball
718265512,esport
612063015,hockey
771189202,martial_arts
842094317,martial_arts
939633505,athletics
483184820,tennis
306441436,autosport
277343111,tennis
118582030,autosport
893681523,athletics
74652019,football
860103302,tennis
337669626,extreme
962409113,athletics
191288802,extreme
152645515,boardgames
638690823,autosport
461478321,motosport
892724112,motosport
940643711,volleyball
216195912,winter_sport
797106735,esport
888914411,boardgames
753726005,extreme
628940512,basketball
895774202,extreme
322842224,football
628345539,winter_sport
686698307,autosport
246280803,tennis
874257909,motosport
58022005,boardgames
893681523,athletics
281743839,extreme
802894535,tennis
538156330,athletics
193979004,tennis
340097918,tennis
484354931,volleyball
207420208,motosport
720700227,volleyball
584644404,esport
676903235,boardgames
53073826,volleyball
244390012,motosport
533687714,motosport
535511828,basketball
811403701,winter_sport
720980602,athletics
157226523,winter_sport
200830226,extreme
372619507,martial_arts
430070319,athletics
875504204,esport
185046019,volleyball
410728131,autosport
58056119,autosport
416384822,volleyball
216451201,esport
742321024,hockey
821416534,football
587551436,motosport
502274308,volleyball
206534518,tennis
70553008,martial_arts
625733917,volleyball
101931638,esport
338973828,hockey
175877702,winter_sport
32734003,autosport
197069007,autosport
119067016,football
447899916,volleyball
542017229,martial_arts
161038103,tennis
555013438,autosport
271744519,martial_arts
923012209,volleyball
222516037,martial_arts
389639538,extreme
28225423,martial_arts
6841824,winter_sport
253041238,autosport
190675501,winter_sport
582543434,autosport
898891936,winter_sport
181151513,athletics
636813919,basketball
402635101,hockey
154884131,extreme
757687928,tennis
663005300,tennis
234810038,extreme
577746628,hockey
694334802,football
555020016,esport
337485625,tennis
634077333,football
916341617,autosport
114597920,winter_sport
673717013,football
320128527,esport
144893418,boardgames
347076136,hockey
75044739,extreme
943736224,esport
134805635,volleyball
636606912,boardgames
105159200,martial_arts
500649222,esport
487808124,hockey
940142725,athletics
515979625,esport
542970915,tennis
653139422,volleyball
759335729,extreme
992331419,basketball
169782234,autosport
976726439,martial_arts
528610528,football
99316638,volleyball
397688731,martial_arts
563700604,motosport
663177038,autosport
481791707,motosport
978152436,basketball
793498528,martial_arts
175114936,esport
486848704,football
683004715,hockey
300698829,autosport
626724033,autosport
505512209,autosport
597756035,football
258314123,football
995614432,winter_sport
699404808,martial_arts
491581824,autosport
198566525,boardgames
453622433,extreme
939038022,motosport
209418931,boardgames
891334035,motosport
281906302,basketball
77287639,basketball
291959212,tennis
474818525,esport
32734003,autosport
97470738,esport
358634928,motosport
724915531,boardgames
374161020,esport
806134921,martial_arts
254914715,volleyball
346305901,football
837411601,volleyball
165033105,esport
199260030,boardgames
652028722,volleyball
206039507,boardgames
470533206,martial_arts
113480613,boardgames
865319020,hockey
780087912,autosport
500485134,volleyball
466833200,volleyball
754370035,autosport
618050834,esport
661402108,autosport
801282329,football
942291028,autosport
77263526,tennis
780377018,hockey
881966013,esport
844717635,extreme
536631212,basketball
852431225,esport
234810038,martial_arts
249356330,autosport
611696517,football
330126734,hockey
411875725,volleyball
663177038,autosport
137256429,autosport
898257011,hockey
615111916,basketball
336705925,athletics
240148831,basketball
341006523,tennis
477358811,hockey
205108616,martial_arts
38686015,autosport
963404719,autosport
780661336,extreme
692941415,tennis
454649416,tennis
542017229,athletics
183300802,football
328610001,athletics
543395536,extreme
675221606,martial_arts
395618404,martial_arts
258919913,basketball
257343433,extreme
610069617,motosport
584891828,motosport
110161928,extreme
16855822,extreme
949858220,motosport
804591616,autosport
219391807,volleyball
512892704,winter_sport
281906302,basketball
784721116,martial_arts
951953731,motosport
777792529,football
31521229,hockey
815797438,hockey
909250315,extreme
502677819,winter_sport
947138900,boardgames
223866238,motosport
762195413,athletics
672115723,winter_sport
75263528,volleyball
572040810,motosport
258314123,basketball
119067016,football
358997321,motosport
588492128,boardgames
19765518,hockey
944232732,hockey
896615205,extreme
27707002,football
502752932,winter_sport
993241304,extreme
881761926,football
194486402,winter_sport
296077903,esport
32712332,autosport
246331928,tennis
34632917,volleyball
87954633,tennis
311125219,boardgames
542017229,athletics
636813919,basketball
474341536,winter_sport
876929904,volleyball
789662714,extreme
846438937,autosport
431515801,hockey
557484721,tennis
377199730,motosport
876642405,hockey
394896621,esport
354506919,hockey
174798230,tennis
242791832,autosport
163251509,winter_sport
121492010,basketball
177837324,esport
577187937,esport
450783314,autosport
810245338,football
346300139,hockey
758155538,football
718265512,football
168872231,martial_arts
521758907,basketball
162356801,athletics
722998702,basketball
753777205,boardgames
369317324,basketball
842094317,extreme
850982633,boardgames
279774419,volleyball
703540237,athletics
506647809,winter_sport
369349736,esport
162043401,basketball
424581231,martial_arts
693946932,hockey
901319525,autosport
21713406,martial_arts
380924325,extreme
773639931,hockey
471648831,volleyball
758557134,martial_arts
188076806,boardgames
303714903,motosport
963404719,autosport
628940512,basketball
269135832,winter_sport
432119824,esport
249355536,motosport
993251023,winter_sport
291959212,tennis
303858215,motosport
178335916,esport
858270913,basketball
209979431,boardgames
479886838,autosport
950046422,basketball
808026519,autosport
344085216,boardgames
937276635,hockey
125860219,hockey
271336732,tennis
489685222,winter_sport
126462019,motosport
183300802,esport
837314116,volleyball
827474411,extreme
746261621,boardgames
619492408,football
121966812,volleyball
184029530,motosport
300376018,boardgames
756811015,basketball
542922016,motosport
718004107,winter_sport
338973828,martial_arts
716233230,hockey
118342520,football
673848710,basketball
439607625,volleyball
78410435,martial_arts
980421624,tennis
254489118,tennis
682407200,extreme
834897309,volleyball
988414209,motosport
753777205,boardgames
401817323,autosport
999374432,hockey
32734003,autosport
277075235,extreme
248809911,esport
634720110,winter_sport
359331738,hockey
156539705,motosport
794004500,basketball
987306634,winter_sport
23220639,tennis
552724006,tennis
613449708,basketball
522310908,hockey
472102715,boardgames
772243338,basketball
718731007,hockey
347660221,football
617089805,esport
539465706,tennis
946552139,motosport
869684202,winter_sport
24530913,boardgames
30987817,boardgames
571944417,boardgames
1622114,athletics
672291907,tennis
294355703,motosport
294355703,extreme
950610502,athletics
323542800,hockey
148389602,basketball
722326419,volleyball
608008318,football
330126734,hockey
866166836,extreme
58828435,basketball
293257727,extreme
69883037,boardgames
890975533,basketball
335696332,extreme
885777902,autosport
684766028,boardgames
345928610,winter_sport
541204520,basketball
910049717,athletics
369462436,winter_sport
252017522,esport
389199804,volleyball
538156330,athletics
819414509,athletics
982459907,motosport
656218303,martial_arts
283290130,football
839901317,boardgames
669566726,martial_arts
152328435,winter_sport
8754004,boardgames
750123821,basketball
568705033,hockey
369317324,football
424194001,athletics
36443103,football
327734729,boardgames
881714831,boardgames
639255416,volleyball
905699705,hockey
165536929,basketball
62179307,football
996508807,athletics
691885025,athletics
303714903,motosport
761152130,volleyball
746261621,boardgames
495993616,autosport
305659608,esport
646468605,esport
58828435,basketball
734773828,tennis
427405525,hockey
282161237,hockey
363280212,tennis
342217239,esport
379707522,motosport
144253338,esport
85587732,extreme
46396337,boardgames
676067213,tennis
188914633,hockey
831798502,boardgames
199260030,boardgames
549731702,motosport
699404808,martial_arts
949907629,boardgames
738065626,autosport
169650018,extreme
625733917,volleyball
28987600,autosport
427947126,winter_sport
31026914,winter_sport
738309006,football
687457825,autosport
439624909,football
8754004,boardgames
181114224,winter_sport
772796121,martial_arts
617202308,autosport
898943337,boardgames
39760922,martial_arts
601670421,extreme
918780108,martial_arts
24580105,football
171566920,boardgames
383370828,athletics
165303039,winter_sport
128681434,boardgames
696619008,athletics
541587109,motosport
427947126,winter_sport
502126414,autosport
883911111,motosport
536016915,extreme
336192226,motosport
757840314,football
636606912,boardgames
734773828,football
194289811,basketball
126462019,motosport
934770635,volleyball
111216229,tennis
882038106,autosport
180773232,tennis
171386911,esport
315514611,martial_arts
493329800,basketball
950046422,basketball
947275916,tennis
893681523,athletics
924380421,volleyball
306975214,football
514263414,volleyball
286637611,basketball
143952121,boardgames
363011237,football
607642001,winter_sport
603928716,basketball
882493006,hockey
392033223,extreme
826403605,volleyball
52704700,winter_sport
357676832,esport
803373031,football
500328511,extreme
762195413,athletics
402635101,hockey
835396802,hockey
871940439,tennis
133265812,autosport
648536421,football
137678818,motosport
584891828,motosport
536016915,extreme
510637726,athletics
449704704,volleyball
32860111,martial_arts
110973925,athletics
901627909,volleyball
560223506,athletics
711716415,tennis
44066515,football
381517915,tennis
26690326,autosport
74450008,martial_arts
380873701,esport
754440301,basketball
358793829,martial_arts
286516630,autosport
592032236,extreme
938672803,athletics
74472119,hockey
367146634,motosport
968694134,esport
194604309,basketball
754799230,boardgames
470130924,autosport
963893835,esport
33335702,hockey
515979625,basketball
62850008,esport
704972525,motosport
354880700,tennis
387687703,tennis
111296917,boardgames
459391931,esport
391708030,athletics
643723301,esport
591630036,basketball
526305739,boardgames
832060730,winter_sport
443233908,volleyball
503286621,volleyball
697977732,volleyball
881719908,football
282476217,basketball
374976917,martial_arts
868741111,esport
106783719,winter_sport
818786025,football
190676335,hockey
691196826,hockey
595692823,football
662453213,hockey
401592234,hockey
228182217,extreme
129966125,motosport
60784503,extreme
675338101,football
959949902,motosport
961447120,football
36370916,autosport
381175229,basketball
976726439,hockey
64505925,hockey
194486402,winter_sport
884639615,autosport
942291028,autosport
361446201,martial_arts
722293514,motosport
757129532,football
365639217,motosport
548889408,boardgames
698146809,basketball
543463128,football
409341814,volleyball
788946507,tennis
125615617,football
988414209,motosport
621181023,extreme
52719309,boardgames
310100109,athletics
360665210,football
929177628,winter_sport
627942312,esport
110299018,basketball
382246238,autosport
69700733,autosport
392801401,tennis
338061502,football
541587109,athletics
314850421,basketball
995078418,basketball
675267313,winter_sport
484770022,winter_sport
342217239,esport
580543820,athletics
563700604,extreme
708435804,football
201643838,football
441857133,martial_arts
628345539,winter_sport
748171722,volleyball
92405418,autosport
759680207,tennis
363870539,volleyball
559886937,hockey
681724533,athletics
706187615,esport
890990913,motosport
197069007,autosport
3905302,boardgames
294739001,volleyball
248974925,martial_arts
61071611,hockey
442404133,basketball
338061502,football
120774419,basketball
834897309,volleyball
930647729,volleyball
238482914,football
621089234,extreme
861225637,volleyball
573728221,volleyball
985825903,winter_sport
699833027,motosport
595894929,basketball
754130730,boardgames
446372811,motosport
520171005,football
189202917,winter_sport
309752232,volleyball
342217239,esport
350292811,boardgames
853318705,basketball
365639217,basketball
705531229,basketball
478649132,extreme
862074312,winter_sport
842595938,basketball
877807601,hockey
982942625,athletics
723736924,athletics
311125219,boardgames
841922601,motosport
372120119,basketball
997446726,esport
691196826,hockey
484770022,winter_sport
733364110,autosport
388651911,winter_sport
927384902,martial_arts
630923338,esport
366534304,extreme
742720004,boardgames
567751832,motosport
205108616,martial_arts
8071108,extreme
61071611,martial_arts
433288420,extreme
780661336,motosport
717515711,volleyball
434086932,tennis
542840716,motosport
798767415,extreme
346305901,martial_arts
489685222,hockey
574447328,basketball
662150224,football
445858313,basketball
280458608,athletics
895783211,martial_arts
461478321,motosport
983658124,athletics
723177305,volleyball
933474909,autosport
38798826,martial_arts
946552139,motosport
8591509,basketball
438797216,esport
673423735,motosport
1622114,athletics
59932732,hockey
227716111,basketball
493329800,basketball
310271910,volleyball
12747705,winter_sport
890219039,basketball
557277126,athletics
371253809,esport
581191034,athletics
463889624,boardgames
332429417,motosport
636783625,tennis
436996505,autosport
247095126,esport
84609918,esport
120129717,boardgames
162043401,esport
613449708,basketball
705736306,basketball
941480814,esport
443233908,winter_sport
686389628,extreme
621181023,football
451119206,martial_arts
195814323,football
954498427,tennis
77255925,athletics
801282329,volleyball
697207714,football
438797216,tennis
638690823,autosport
115396210,martial_arts
115166329,boardgames
670133125,motosport
22036439,athletics
66862529,esport
178373718,volleyball
281392706,martial_arts
153599208,esport
470564924,football
831253324,motosport
613949310,extreme
13562224,extreme
810245338,football
87851008,hockey
378373822,extreme
821877603,extreme
552093907,volleyball
961334227,boardgames
391708030,athletics
173808905,basketball
4581701,winter_sport
694176212,extreme
918645004,martial_arts
758557134,athletics
444009223,athletics
563416735,winter_sport
814378832,motosport
878785139,winter_sport
316651621,motosport
817588631,motosport
178038606,boardgames
881719908,football
307022516,boardgames
975627500,esport
941655901,winter_sport
27943630,esport
793483105,winter_sport
971344832,hockey
347660221,football
808720707,martial_arts
607642001,football
32860111,volleyball
636606912,boardgames
973446521,boardgames
960682626,extreme
32712332,autosport
373701210,football
750586033,martial_arts
624254822,volleyball
167479026,volleyball
716730813,athletics
195663706,esport
695058203,athletics
47878039,volleyball
791826507,motosport
755173525,football
607849319,extreme
350509934,boardgames
867549202,boardgames
468287808,boardgames
842306321,autosport
794004500,basketball
692248707,boardgames
207891029,esport
424965336,esport
358893334,autosport
252958212,winter_sport
293137810,football
243150312,winter_sport
610608320,martial_arts
292717533,esport
150654128,boardgames
441983510,athletics
996141322,extreme
5492000,boardgames
192169939,volleyball
172168003,athletics
653555418,autosport
709646319,tennis
523427029,motosport
750529123,volleyball
890548501,autosport
908844019,boardgames
497868207,volleyball
393386031,extreme
714494404,tennis
679839112,winter_sport
882288416,volleyball
446372811,motosport
327373427,basketball
230468518,tennis
551269718,volleyball
571009235,hockey
169233026,hockey
312888017,martial_arts
8591509,basketball
558167517,football
686698307,basketball
737153530,autosport
661807414,boardgames
487808124,hockey
411813121,extreme
349384717,basketball
120774419,basketball
909250315,winter_sport
931808713,athletics
189202917,winter_sport
71725427,basketball
901212909,motosport
133265812,motosport
498073839,football
577870231,basketball
434086932,esport
92620918,winter_sport
869684202,winter_sport
564459708,tennis
661402108,autosport
433430409,hockey
590978210,volleyball
435422100,martial_arts
881719908,football
381979729,winter_sport
924380421,volleyball
324896016,winter_sport
649867805,motosport
682654027,winter_sport
897247311,hockey
976183800,esport
481791707,motosport
998565619,esport
320128527,esport
347660221,football
570742820,boardgames
223858625,extreme
762195413,athletics
498073839,football
411869717,martial_arts
249455008,boardgames
380924325,extreme
943343431,athletics
330691025,basketball
115396210,martial_arts
324255428,motosport
40882726,winter_sport
178373718,volleyball
410728131,autosport
449702027,basketball
370655126,tennis
875981233,autosport
138603234,extreme
647706002,motosport
675267313,winter_sport
375680603,volleyball
473008422,autosport
454649416,tennis
902512702,winter_sport
720423606,hockey
358226131,extreme
725601317,tennis
568346001,volleyball
582387318,volleyball
687457825,autosport
968492435,basketball
429186739,martial_arts
9419231,esport
773806324,winter_sport
650213926,autosport
720194726,motosport
808599916,hockey
949032612,boardgames
16717100,athletics
294355703,winter_sport
394212724,extreme
901046514,tennis
786309406,basketball
731705227,hockey
210153012,esport
824729512,athletics
733716720,martial_arts
405617038,winter_sport
216695313,basketball
254005736,martial_arts
916678726,winter_sport
769116238,extreme
28987600,autosport
188076806,boardgames
354880700,tennis
610419433,esport
388468131,boardgames
978152436,volleyball
570876811,extreme
807285226,extreme
252055117,motosport
630923338,volleyball
80519630,martial_arts
279774419,volleyball
134189922,winter_sport
152217002,basketball
143397604,athletics
922406933,football
500328511,autosport
197131118,football
23592715,winter_sport
993159701,hockey
747366802,volleyball
488107817,winter_sport
152645515,boardgames
403183304,football
120384031,hockey
640825236,motosport
885530530,hockey
469446016,football
89039324,football
913398708,winter_sport
612800229,boardgames
749854625,esport
192169939,volleyball
46557902,extreme
882038106,extreme
127029536,extreme
608221321,hockey
909250315,extreme
213444212,winter_sport
921213411,volleyball
50649411,boardgames
291959212,tennis
602470622,esport
502752932,winter_sport
523843812,martial_arts
614822521,winter_sport
401762737,autosport
69666901,esport
94891029,winter_sport
602470622,esport
588492128,boardgames
130540023,tennis
527137328,football
856701516,extreme
739394931,motosport
358997321,motosport
243857625,hockey
604360123,athletics
655435538,autosport
60377539,tennis
986936309,winter_sport
415671629,esport
992331419,autosport
479143822,autosport
883757433,tennis
815797438,tennis
964573111,hockey
375680603,volleyball
621089234,extreme
999374432,football
724468930,autosport
1663817,autosport
367642407,martial_arts
864087326,winter_sport
679839112,winter_sport
514740421,autosport
152027915,tennis
409341814,football
369774809,basketball
853318705,basketball
465964406,esport
369621326,hockey
384129821,athletics
159768514,basketball
961334227,boardgames
120860807,basketball
261262031,motosport
979631209,autosport
627299307,winter_sport
175060434,autosport
920584035,esport
230468518,tennis
888762027,tennis
445982121,athletics
728868232,esport
511077225,autosport
929177628,winter_sport
999361308,tennis
779040219,martial_arts
692130106,basketball
704972525,motosport
776648409,football
695058203,athletics
300698829,autosport
338061502,football
424793706,winter_sport
636783625,tennis
909050028,extreme
300976628,extreme
669684718,winter_sport
58570613,winter_sport
869684202,extreme
357831525,winter_sport
580528518,football
698962202,boardgames
513724303,volleyball
608530528,boardgames
779040219,winter_sport
500385906,martial_arts
700486922,boardgames
46365838,esport
222424935,football
104061007,football
219391807,volleyball
101931638,esport
618948831,winter_sport
321397920,autosport
461578519,hockey
93297629,football
850748314,motosport
841198827,basketball
249356330,autosport
3905302,boardgames
467539521,basketball
442857922,esport
808720707,martial_arts
919422928,esport
809470704,basketball
327143311,winter_sport
555020016,esport
193630610,martial_arts
733036217,extreme
183300802,football
698725904,hockey
439735436,volleyball
633722524,martial_arts
431515801,hockey
165244818,football
270174326,football
557277126,athletics
544508231,esport
175877702,winter_sport
57043301,athletics
433229230,basketball
610419433,esport
518838020,hockey
91586935,athletics
287237406,martial_arts
578692128,esport
607642001,winter_sport
688031531,martial_arts
663621910,extreme
791826507,motosport
462553428,hockey
590851410,volleyball
947138900,boardgames
618524109,motosport
933536635,winter_sport
932162114,basketball
610419433,esport
793527036,martial_arts
372619507,martial_arts
471648831,volleyball
729244921,basketball
129257723,winter_sport
552093907,volleyball
87954633,tennis
810672125,motosport
831430707,football
804087221,extreme
601670421,extreme
346973015,volleyball
356229300,volleyball
310159821,winter_sport
781534022,motosport
776359438,tennis
713499939,tennis
332656608,athletics
812009012,tennis
189715923,autosport
11907137,tennis
723736924,athletics
779040219,winter_sport
285028136,hockey
916355700,esport
215038522,volleyball
901627909,volleyball
150717204,volleyball
23592715,football
792960709,extreme
964864035,volleyball
294997620,tennis
960208908,winter_sport
195663706,esport
297310427,winter_sport
26141003,esport
750283334,volleyball
910049717,athletics
525872608,football
760564339,winter_sport
689420739,motosport
206462427,martial_arts
700486922,boardgames
343811314,martial_arts
729848700,athletics
920584035,esport
943736224,esport
573844036,basketball
820117632,basketball
734592127,athletics
714494404,tennis
126462019,motosport
104061007,football
29843836,martial_arts
46365838,esport
515359008,extreme
868970032,esport
788252431,football
686389628,extreme
909638205,esport
19561637,autosport
324968820,football
723062002,athletics
321638212,extreme
277505118,hockey
986135626,esport
193630610,martial_arts
517683527,motosport
210734516,extreme
996141322,extreme
930647729,football
704493238,basketball
808026519,martial_arts
753777205,boardgames
867517906,winter_sport
227173108,boardgames
942291028,football
888101600,athletics
631192517,basketball
655829522,autosport
500485134,athletics
881759832,athletics
490784125,autosport
571944417,boardgames
750019213,volleyball
584124420,basketball
272974518,motosport
545066315,autosport
897875212,boardgames
869684202,winter_sport
617202308,autosport
933229631,martial_arts
345928610,winter_sport
406191709,motosport
500485134,motosport
905511805,esport
960682626,extreme
150654128,boardgames
896686111,athletics
918645004,martial_arts
126999231,winter_sport
247095126,esport
723062002,athletics
302563336,autosport
134189922,winter_sport
749208109,autosport
345928610,winter_sport
219875603,football
974417010,volleyball
353182908,autosport
38686015,autosport
943343431,volleyball
892988615,martial_arts
633910216,boardgames
970656307,football
336192226,motosport
